,Emiten,Sektor,Peningkatan,PB,ROA,ROE,EPS,PER,DER,DAR,Cash Flow,Percentage Increase (%)
0,AMFG,Industrials,2018,-39.437580184699314,-87.26708606258653,-83.12591824388558,87.5,-67.33609958506224,74.71316425120776,31.835777276456128,136.58098723854323,-38.7551867219917
1,AMFG,Industrials,2019,-2.1394114234397392,-2021.7496229260935,-2214.9560117302053,-2130.666666666667,-104.57750802064817,17.230088336361817,6.520833911667538,-40.588235294117645,-7.0460704607046125
2,AMFG,Industrials,2020,-8.387148130827185,256.62431051757426,279.36459711629647,226.0013131976362,-75.8537165405653,10.38095776843349,3.7643819630581703,-140.4118811881188,-23.728813559322035
3,AMFG,Industrials,2021,46.450523471800096,-179.1294953294809,-165.84847313081616,-173.9375629405841,-322.409879233633,-26.332811992799606,-11.474828007458356,126.21030968247746,64.44444444444446
4,APII,Industrials,2018,-16.516310461192347,104.87601283505882,95.74620554255077,2720.0,-96.70212765957447,-10.76216538273836,-6.600019654303324,1329.2993630573249,-7.0
5,APII,Industrials,2019,-9.534554464206707,-22.32998481742804,-22.573573136077357,-15.24822695035462,16.722904575516267,-0.8091568234281112,-0.49709630748496636,-6.550802139037444,-1.0752688172043037
6,APII,Industrials,2020,-24.30669906028919,11.919510331129416,6.235323992189336,16.73640167364016,-28.30372448184511,-14.077268817387619,-9.479920247823927,-39.19885550786838,-8.333333333333329
7,APII,Industrials,2021,31.692414703452954,-38.86808054713573,-39.15465274092346,-35.483870967741936,121.42857142857139,-5.017905923062614,-4.570554920950968,-17.01960784313725,42.85714285714286
8,ARNA,Industrials,2018,15.279237508798332,25.692244801737488,21.218822894731176,29.87804878048783,-5.444362078906195,-9.038749825968992,-5.681944013966046,60.38602406836813,22.807017543859644
9,ARNA,Industrials,2019,-3.590708454843508,26.145553994806974,28.122757035477917,38.02816901408451,-24.791059280855194,4.15750583121914,2.5501369140706913,18.05857619254749,3.80952380952381
10,ARNA,Industrials,2020,39.82505618709831,36.93501628967525,35.81766459425603,50.680272108843525,3.5061196595356847,-3.1077270390127723,-2.3106087422918904,3.2575990175007803,54.54545454545453
11,ARNA,Industrials,2021,-2.3530560740991717,28.212665905964883,20.390160696113455,46.04966139954857,-19.44722247477044,-16.805026324209564,-11.39932613036197,15.146739615235944,19.40298507462687
12,ASGR,Industrials,2018,-9.625618100079905,11.603099165096921,-6.2443853486889225,5.14165792235049,-3.4381618442504305,-35.59476816265807,-23.33447439679911,-153.94216848612905,1.5267175572519136
13,ASGR,Industrials,2019,-35.017966695880816,-27.34297847378086,-15.720132863832703,-7.1856287425149645,-23.04147465437788,46.5016115099323,26.297906045643188,-219.94414623531117,-28.57142857142857
14,ASGR,Industrials,2020,-12.233026698592127,-75.89249628240725,-80.10917791187921,-80.96774193548387,342.4620874219447,-40.265419947506565,-27.6022074751573,-76.36297662604699,-15.343915343915342
