,Emiten,Sektor,Peningkatan,PB,ROA,ROE,EPS,PER,DER,DAR,Cash Flow,Percentage Increase (%)
0,AKSI,Transportation & Logistic,2018,1.9389655606882599,-15.520396066097248,52.302261078321834,79.41176470588238,-24.79227487087357,286.62128709650295,114.45258248353883,300.8881922675026,34.93150684931507
1,AKSI,Transportation & Logistic,2019,180.0016613152718,-84.77360558982139,-84.78703798031063,-84.42622950819673,1766.016564253273,-0.14605867548556262,-0.05789194437666367,-125.57018115469829,190.60913705583755
2,AKSI,Transportation & Logistic,2020,-61.30306431380686,-30.753960500881135,-22.48336371866816,-28.070175438596507,-49.732665885610814,19.88796042354575,7.096577473098421,58.51172273190622,-64.0
3,AKSI,Transportation & Logistic,2021,74.1311609169025,764.5530635167942,551.6722921141454,717.0731707317075,-73.83733506381138,-38.29723291410234,-18.14088621366122,20.836012861736336,98.4304932735426
4,BIRD,Transportation & Logistic,2018,-22.403505500652614,0.8309160394147597,0.7915834362574259,974.705882352941,-92.28179744424511,-0.46897153451848794,-0.4301308465264384,-94.12820338522194,-17.05202312138728
5,BIRD,Transportation & Logistic,2019,-15.32907471931864,-35.47597730261354,-32.766001870472834,-31.198686371100166,26.101635718027794,16.82546050212281,12.11662067975567,-1527.5526742301458,-13.240418118466906
6,BIRD,Transportation & Logistic,2020,-46.094127945817675,-152.4949547987236,-152.98867616086142,-151.23309466984884,-201.90451245977698,3.307392996108959,2.3448275862068897,-45.523550019462824,-50.0
7,BIRD,Transportation & Logistic,2021,7.802837938760263,-105.24903512972928,-104.86359215407131,-104.65838509316771,-2378.769230769231,-26.9385354377022,-21.14836483648365,-115.47576515422175,1.098901098901095
8,CMPP,Transportation & Logistic,2018,-33.592424242424244,91.88775133057362,32.06951822872469,72.5609756097561,-49.776207302709075,-17.310361721237868,20.142247510668554,-269.94171770065975,-13.333333333333329
9,CMPP,Transportation & Logistic,2019,-14.891231217761828,-81.04795600083766,-83.25112748062367,-82.68551236749117,410.91051805337537,-5.224584607362118,7.242313802448379,81.05219177605235,-11.538461538461533
10,GIAA,Transportation & Logistic,2018,37.33913043478259,-3.067788394959152,59.96075133165127,13.482142857142847,-12.467873065827419,85.93900045863862,12.674380359204136,-94.17514124293785,-0.6666666666666714
11,GIAA,Transportation & Logistic,2019,98.89387638156927,-94.6018367009465,-81.01435539483643,-83.32022029897718,901.8962897302773,298.3593241857207,13.264981430773261,-4619.88360814743,67.11409395973155
12,GIAA,Transportation & Logistic,2020,-122.85670153140032,7786.143562013423,-1915.9177240946601,6362.264150943396,-98.75085744437604,-128.35636078636765,23.145629942585572,-72.74678111587983,-18.623481781376512
13,GIAA,Transportation & Logistic,2021,-82.68903501781482,147.49285476064986,-47.851289778306324,67.88321167883211,-67.10577547047373,-66.97507297145177,56.73318541936686,-11.023622047244103,-45.04950495049505
14,LRNA,Transportation & Logistic,2018,-10.023296701552198,-35.96689007245023,-38.639270490859815,-22.383985441310287,46.65760395101145,-23.060715547962573,-19.70985843102686,-96.76635120925341,13.829787234042556
15,LRNA,Transportation & Logistic,2019,25.65507695599851,-76.3141611985985,-76.42969440433247,-77.13950762016412,435.55236041217347,-3.332492525980399,-2.858662987222189,-2262.4609781477625,22.429906542056074
16,LRNA,Transportation & Logistic,2020,82.77919982923717,602.9568287944975,650.9229792026821,530.2564102564103,-75.77624705743514,48.33388027272622,38.85886697729367,-134.5363408521303,52.67175572519085
17,LRNA,Transportation & Logistic,2021,14.738061761183147,-30.49089840702831,-30.114248721377237,-38.48657445077299,64.19179894179896,2.743809139111903,2.190070748856087,-115.8200290275762,3.0612244897959187
18,NELY,Transportation & Logistic,2018,6.110205720494093,90.75606141448037,97.73904319249789,117.4757281553398,-46.354166666666664,48.541158170707405,43.29555677583318,-225.85978835978835,16.66666666666667
19,NELY,Transportation & Logistic,2019,-2.8510989179982005,-10.753160644640673,-9.060678529517503,-0.8928571428571388,6.97012802275961,17.67220105211655,15.482190256923545,-90.01576458223857,6.015037593984957
20,NELY,Transportation & Logistic,2020,-6.70540180237829,-22.05470286579245,-22.237968441546315,-16.21621621621621,20.201326927476543,-1.8977823303786323,-1.6665800451034727,-840.5263157894738,0.7092198581560325
