,Emiten,Sektor,Peningkatan,PB,ROA,ROE,EPS,PER,DER,DAR,Cash Flow,Percentage Increase (%)
0,APLN,Properties & Real Estate,2019,10.00830054107233,-120.89707990647321,-119.33672334056857,-119.04761904761905,-711.3486842105262,-11.509164506299172,-4.368489545340481,-110.65929203539822,16.44736842105263
1,APLN,Properties & Real Estate,2020,40.88807956296395,1431.2231977365834,1647.8750993828796,1400.0,-92.9190207156309,26.768065337042074,11.05496179034759,414.6035699460357,5.617977528089881
2,APLN,Properties & Real Estate,2021,-30.119302353748637,387.9684750354656,419.8838298918714,376.6666666666667,-86.38595447106086,9.519281464186164,2.7959588090555485,-50.12099896747548,-35.1063829787234
3,BAPA,Properties & Real Estate,2018,12.898011751562066,-60.31212472207557,-66.39797804986314,-63.31658291457286,237.65566625155662,-46.61848346858529,-36.950253369005395,-72.67080745341615,23.86363636363636
4,BAPA,Properties & Real Estate,2019,-36.682837792401166,18.33414193080452,-0.9985886742623933,1.3698630136986338,-35.742623357302264,-78.77779759170929,-74.63358271121874,-111.03096590909091,-34.862385321100916
5,BAPA,Properties & Real Estate,2020,-28.842858207287094,-175.84300289463485,-176.1955244008856,-175.67567567567568,-193.05835010060363,8.700008817847333,8.197104071942164,229.65051894202787,-27.53623188405797
6,BAPA,Properties & Real Estate,2021,37.859214501510564,-44.11109523176419,-44.44191989879197,-46.42857142857143,153.86666666666667,-10.277966613792572,-9.743710178617391,-62.41875,36.0
7,BCIP,Properties & Real Estate,2018,-37.50806345493092,-7.4557944435088075,-18.11472516208316,-6.793478260869563,-23.610495626822157,-20.145561180369484,-9.750982513645084,-178.61635220125788,-28.799999999999997
8,BCIP,Properties & Real Estate,2019,-31.933033148063004,-55.835425934723766,-57.28050468440855,-55.10204081632652,60.16343207354441,-6.471474789203285,-3.307671395155424,-134.13333333333333,-28.089887640449433
9,BCIP,Properties & Real Estate,2020,13.763113258245824,-51.17811200537396,-50.13105460464891,-48.701298701298704,128.44145569620252,3.9522449267114297,1.7696447832834252,-123.141796875,25.0
10,BCIP,Properties & Real Estate,2021,22.636459965674206,-114.02271096259848,-113.73022320273134,-112.65822784810126,-1069.0666666666666,-4.473867768995163,-2.4389245628672143,13150.510608848303,24.324324324324323
11,BEST,Properties & Real Estate,2018,-23.184652278177467,-20.48452151487345,-19.2707406912903,-12.400000000000006,-5.022831050228291,4.669205811821129,3.0954830262788704,-22.227921963418353,-16.799999999999997
12,BEST,Properties & Real Estate,2019,-3.1233866804336543,-11.588269308125504,-16.07955994548547,-10.045662100456624,15.443186255369,-15.072179308598194,-10.52697523584905,-108.30877048335566,3.8461538461538396
13,BEST,Properties & Real Estate,2020,-14.367816091954026,-130.87508330783976,-131.06052854731774,-130.2030456852792,-375.9103641456582,2.522935779816507,1.9108280254777128,-281.6174646489705,-13.461538461538467
