,Emiten,Sektor,Peningkatan,PB,ROA,ROE,EPS,PER,DER,DAR,Cash Flow,Percentage Increase (%)
0,AKKU,Consumer Cyclicals,2018,-5.328291850263994,-48.12099079835669,-49.82182076463205,-53.333333333333336,98.41269841269843,-8.189478881538264,-5.077487017401978,-93.93479909021987,-7.407407407407405
1,ARGO,Consumer Cyclicals,2021,-18.63546333865355,-61.37260414864371,-62.865884938426,-61.74345076784101,119.2760970719585,-1.8051326663766787,2.143595041322314,-70.97230073487846,-10.13698630136986
2,ARTA,Consumer Cyclicals,2018,193.2646572838109,-7.663445860951086,-2.0362632558634886,1320.0,-76.10012406042472,-9.150122777071175,-14.368674720617847,-45.58823529411765,239.37823834196894
3,ARTA,Consumer Cyclicals,2019,-66.10962254738533,-61.783658863458406,-61.877340041862794,-61.267605633802816,-11.311589174184604,1.7565569275696191,2.006609630445439,-32.68581081081081,-65.64885496183206
4,ARTA,Consumer Cyclicals,2020,-38.11928500329095,-322.7198944912245,-312.48388483025354,-300.0,-128.44444444444446,-17.342454996284275,-13.360583948105315,-344.2910915934756,-43.111111111111114
5,ARTA,Consumer Cyclicals,2021,872.2842205610871,-54.884922191709165,-55.856368563685635,-56.36363636363637,2048.4375,1.545143042048764,3.7797951898301534,-83.61581920903956,837.5
6,BATA,Consumer Cyclicals,2018,-4.239949748743712,24.330020871404656,15.201190439655448,26.699029126213574,-16.91873361564832,-21.926686615491647,-15.739962012976989,-133.84002895403546,5.263157894736835
7,BATA,Consumer Cyclicals,2019,7.2300038270187486,-64.96939363338568,-66.36723900706608,-65.51724137931035,219.0,-14.148427370562842,-10.580262876174231,-163.42245989304814,10.0
8,BATA,Consumer Cyclicals,2020,31.503050972545054,-926.0625166916511,-1136.5314251821064,-859.4444444444445,-112.66875041564143,100.99867072675548,60.18565743247905,2203.5413153457,-1.5503875968992276
9,BATA,Consumer Cyclicals,2021,-13.260232052179646,-66.00671752305654,-67.74942663614966,-71.25091441111924,169.5053194686542,-12.683249559997662,-7.9649552524603,-108.199121522694,-21.28
10,BAYU,Consumer Cyclicals,2018,25.132287832294537,13.955733390773048,8.625075751713766,20.127795527156536,15.056041033434653,-9.856492140259022,-5.432797376791399,-8.724137931034477,38.21428571428572
11,BAYU,Consumer Cyclicals,2019,-37.62108769813257,17.473987710667416,22.25080683505867,19.592198581560297,-49.00845300279851,9.283311218899073,5.013183073965365,196.18435965243674,-39.01808785529716
12,BAYU,Consumer Cyclicals,2020,3.9138587302418415,-95.82642636779245,-96.10103659987938,-96.51593773165308,2612.107825459791,-14.196515611962624,-8.15323888847837,44.34948979591837,-7.083333333333329
13,BAYU,Consumer Cyclicals,2021,-11.539505180958983,-71.33247231284228,-73.4801525227455,-70.2127659574468,240.23062139654076,-17.42472269678261,-10.737456148832209,-121.91393478837148,1.3452914798206308
14,BIMA,Consumer Cyclicals,2018,-15.046113306982875,-86.46865867131794,-84.42936207854834,90.0,-57.28451563691838,7.744795361653061,-6.366610682088023,-122.61146496815286,-18.840579710144922
15,BIMA,Consumer Cyclicals,2019,-211.93595906342068,-48.309367605101414,-262.7120153875086,31.57894736842107,-32.14285714285715,-227.47595123545148,-59.50322095876638,272.3004694835681,-10.714285714285708
